complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
14398009,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,MS,Experian Information Solutions Inc.,2025-07-01,"I am writing to formally lodge a complaint against multiple furnishers and credit bureaus whose failure to report accurate information has severely harmed my life and financial stability. These errors, omissions, and misleading credit entries have not only interfered with my ability to work, rent, and build credit XXXX. XXXX XXXX - Date Opened : XX/XX/XXXX - Charge-Off Balance : {$130.00} - Last Payment : XX/XX/XXXX - Issue : This account continues to show monthly "" CO '' charge-off notations through XX/XX/XXXX despite no new payment activity. This suggests improper re-aging and inaccurate data. 
- Impact : I was denied approval for employment with XXXX and XXXX due to my credit screening showing persistent, unresolved delinquency. The reporting undermines my efforts to work legally and earn an incomethis has direct criminal justice implications for those attempting financial rehabilitation through legitimate work. 

-- - XXXX. XXXX XXXXXXXX XXXX - Date Opened : XX/XX/XXXX - Charge-Off Balance : {$610.00} - Last Payment Made : XX/XX/XXXX - Issue : This account has been closed since XX/XX/XXXX, yet it continues to report charged-off updates through XX/XX/XXXX. 
- Impact : The lingering balance and mixed remarks ( "" XXXX '', "" XXXX '' ) mislead reviewers and have blocked me from opening a secured bank account. I was also denied for local rental housing due to this active-looking derogatory debt, causing housing insecurity and further stress. 

-- - XXXX. XXXXXXXX XXXX XXXX / XXXX - XXXX : {$1800.00} and {$3200.00} - Status : Deferred - Issue : Despite valid federal deferment under the CARES Act, late payments and "" DRC/PDE '' remarks continue to be shown. These are false and should have been reported as current per federal law. 
- Impact : These incorrect lates have dragged down my credit score, reducing eligibility for income-based repayment plans and future educational financing. This undermines my right to rehabilitation through education and has even led to rejection by some employers requiring a clean financial record for federal work. 

-- - XXXX. XXXX XXXX - Date Closed : XX/XX/XXXX - Reported Balance : {$0.00} - Issue : XXXX is reporting the account as Paid, Closed yet still indicates XXXX  days past due, contradicting its actual status. 
- Impact : A mere {$0.00} balance tagged with a XXXX delinquency renders my credit profile misleading and hostile to lenders, blocking me from accessing even basic tools to rebuild financial wellness. This affects my ability to support dependents and access low-limit credit rebuilders. 

-- - XXXX. XXXX XXXX - Balance : {$380.00} - Original Creditor : XXXX XXXX XXXX XXXX XXXX- Date Placed for Collection : XXXX - Issue : I have disputed this debt repeatedly and XXXX has failed to produce validation. The reporting continues as PLACED FOR COLLECTION. 
- Impact : Ive been denied employment, denied apartment applications, and told I must pay this unvalidated debt before being reconsidered for approval. Their failure to mark this tradeline as disputed violates FDCPA and misrepresents my legal position. 

-- - XXXX. XXXX XXXX XXXX- Balance : {$270.00} - Original Creditor : XXXX XXXX XXXX - Issue : Marked disputed but continues to report monthly without verification.Impact : XXXX false portrayal of this debtand their refusal to remove outdated datahas negatively affected my job prospects in rideshare apps and credit-based background checks, causing severe disruptions in my income stream. Broader Harm and Request for Relief These inaccurate tradelines have created a cascade of denials and degradation of opportunity : - Ive been denied employment, housing, credit accounts, and legal income routes. 
- Ive faced loss of livelihood, limited ability to access secure housing, and repeated reputational harm due to false or unverifiable credit entries. 
- Attempts to resolve these issues via direct dispute, written requests, and certified mail have gone ignored or rejected. 

The combined result is persistent harm, both financial and emotional, that continues despite my good faith efforts to comply with all laws and procedures. I now turn to the CFPB for help compelling these furnishers and reporting agencies to comply with the Fair Credit Reporting Act, FDCPA, and applicable protections under federal and Mississippi law.",1,
16298439,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,TX,WELLS FARGO & COMPANY,2025-10-01,,0,
8090586,Debt collection,Auto debt,Written notification about debt,Didn't receive enough information to verify debt,AZ," Lippman Recupero, LLC",2024-01-02,"On XX/XX/XXXX  XXXX XXXX XXXX of LIPPMAN RECUPERO , LLC, XXXX  Entity ID : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX by way of approved actions by himself and/or his employees, contacted me using US mail XXXX The solicitation was missing the required disclaimer per the Domestic Mail Manuel codified in 39 USC 3001 & 3005. The solicitation came without my prior direct consent nor authorized by court order ; further violating the FDCPA [ 15 usc 1692c ]. The solicitation made claims that I owed them an alleged debt ; violation of FDCPA [ 15 USC 1692b ]. These are means of unfair practices to attempt to collect an alleged debt as we have no valid contract/agreement. My privacy rights have been violated. The creation of an account in my name without my prior approval nor consent constitutes identity theft and XXXX XXXX evidence of conspiring to violate the XXXX XXXX XXXX. This type of action attempted to create false belief in me that I am indebted to LIPPMAN RECUPERO , LLC ; its also addressed in Presidential Executive Order 13903 human Trafficking. Pursuant to www.state.gov website, U.S. & International Law describe this compelled service using a number of different terms, including INVOLUNTARY SERVITUDE, DEBT BONDAGE, or FORCED labor. Human Trafficking can include, BUT DOES NOT REQUIRE, movement. Traffickers profit at the expense of their victims by compelling them to perform labor. XXXX XXXX XXXX on behalf of LIPPMAN RECUPERO , LLC has acted in Bad Faith with Unclean Hands in hopes of unjust enrichment by my demise. On XX/XX/XXXX  my wife spoke with XXXX, which he confirmed that XXXX, XXXX has my Full XXXX & XXXX. 
He asked if we wanted to make payment arrangements, she told him no. She asked him to place a Cease & Desist on my account as well, he replied by stating He has placed a DO NOT CALL on the file. I filed an FTC complaint addressing the identify theft being committed by XXXX XXXX XXXX firm creating an account in their books without my consent nor by way of a valid agreement between us as well as addressing them having my information ; being my FULL social security number, Date of Birth, Address and if LIPPMAN RECUPERO , LLC has my bank statements, my shopping habits, location of where I shop, etc; which is ALL nonpublic personal information according to the XXXX XXXX XXXX. LIPPMAN RECUPERO , LLC knowingly participated and conspired to fraudulently collect on my extension of credit ; this is a violation under Title 18 894.",1,
10305892,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,LA,ENCORE CAPITAL GROUP INC.,2024-10-01,,1,
12748167,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,TN,"CITIBANK, N.A.",2025-04-01,,1,
12762240,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,FL,Experian Information Solutions Inc.,2025-04-01,,0,
14394892,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,FL,Kikoff Inc.,2025-07-01,,1,
20829407,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,FL,Resurgent Capital Services L.P.,2026-04-01,,1,
8671096,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was paid,CA,T.S. Holdings,2024-04-01,,1,
8086643,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,WI,"Halsted Financial Services, LLC.",2024-01-01,"Halsted Financial is trying to not only collect a debt that I do not owe, they're contacting my family members about it as well. This is a clear violation of the CFPB 's policies as I am not a minor and a violation of my family 's privacy as well as mine.",1,
