complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
10309860,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,FL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-10-01T16:10:30.000Z,,,
8671767,Debt collection,Credit card debt,Electronic communications,Frequent or repeated messages,OH,U.S. BANCORP,2024-04-01T20:19:15.000Z,"XXXX XXXX XXXX XXXX is trying to collect {$XXXX} from XXXX of my accounts... 

I have been really sick for about a year and lost my income. I am not sure what to do?",,
7630412,Debt collection,Medical debt,Written notification about debt,Didn't receive enough information to verify debt,AZ,"R.M. Galicia, Inc.",2023-10-02T15:56:32.000Z,,,
7622239,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,FL,"CARRINGTON MORTGAGE SERVICES, LLC",2023-10-02T16:02:00.000Z,"Hello, I have filed 3 previous complaints with the credit bureau regarding Carrington Mortgage. Carrington Mortgage bought my mortgage from XXXX XXXX XXXXXXXX somewhere around XXXX or XXXX. The home was foreclosed in XXXX. There was a surplus owed to me in the amount over {$21000.00}. But the money was not given to me. In other words the home was sold for more than it was worth. In XXXX, I submitted an application for an apartment and was asked if there was a second mortgage on the previous home. I said no. in fact, I lived in the home that was foreclosed on for 20 years and never took out a second mortgage. Lately, I have been receiving monthly emails from Carrington Mortgage. XXXX XXXX alerted me that Carrington Mortgage is on my credit record as active. The credit bureau has not dealt with this issue. The credit Bureau note to my credit reported that the matter was resolved. The credit Bureau has never reached out to me via email, us mail nor by telephone to inquire about the matter. I do not owe any money to Carrington Mortage and the report show show that there was a bankruptcy in XXXX. Thank you for your help. 

XXXX XXXX formally XXXX XXXX XXXX XXXX XXXX",,
6789739,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,CA,Receivables Management Corporation,2023-04-03T05:52:02.000Z,,,
6788138,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,DC,"Duncan Solutions, lnc.",2023-04-03T17:32:14.000Z,,,
6768163,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was paid,FL,"The Outsource Group, Inc",2023-04-02T19:34:40.000Z,My daughter was in an accident and had an emergency room visit on XX/XX/XXXX. After my insurance pad their part I was left owing {$380.00}. I paid this with my XXXX card directed the payment from my XXXX website XX/XX/XXXX the payment was made directly to the provider XXXX XXXX XXXX XXXX XXXX and the payment cleared with my XXXX provider on XX/XX/XXXX. I received a collection notice from XXXX XX/XX/XXXX. I emailed them with proof of the cleared payment and also Called and spoke with XXXX on XX/XX/XXXX who confirmed they received the information and were waiting for the dispute process to clear. XX/XX/XXXX I received ANOTHER collection notice from XXXX. I have emailed them again with the same information that had me provide them previously. This is ridiculous that I have to continue this same communication with them to protect my credit when they have BEEN paid for almost 18 months.,,
6783839,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,IN,Southern Management Systems Inc.,2023-04-01T18:38:25.000Z,,,
8664209,Debt collection,Private student loan debt,Attempts to collect debt not owed,Debt is not yours,TX,EdFinancial Services,2024-04-01T00:35:58.000Z,"On XX/XX/year> I demanded EdFinancial services, as per the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692 ( G ) Section 809 ( B ), provide me with : * The amount you claim the Respondent owes you * An explanation showing me how you have computed the amount. 
* Copies of any documents that prove I agreed to pay the alleged amount * The identity of the original creditor * Confirmation that the account has not crossed the statute of limitation ( SOL ) period * Evidence that you are a licensed debt collector * Evidence of your license numbers and your registered agent. 
* Bond number of the licensed debt collector *Furnish the original contract that shows wet ink signature *Furnish the original contract or security agreement showing repayment of alleged debt In a letter from Edfinancial Services dated XX/XX/year>, they notified me that my request for need proof of income has been denied. I never requested proof of income in my XX/XX/year> letter. On a separate letter dated XX/XX/year> Edfinancial sent me a letter detailing a change in the status of your federal student loans. They did not respond to my initial demands as per the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692 ( G ) Section 809 ( B ). 

In a letter dated XX/XX/year> from Edfinancial Services, I was sent a notification that the alleged account is past due and a billing statement. 
In a letter dated XX/XX/year> EdFinancial Services addressed the request as per as per the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692 ( G ) Section 809 ( B ), however they failed to provide proof of the original contract with wet ink signature. The document ( see attached ) displays a contract from XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX with a typed signature and date. I am questioning the legitimacy of the contract and still have requested the following items from EdFinancial Services : * The amount you claim the Respondent owes you * An explanation showing me how you have computed the amount. 
* Copies of any documents that prove I agreed to pay the alleged amount * The identity of the original creditor * Confirmation that the account has not crossed the statute of limitation ( SOL ) period * Evidence that you are a licensed debt collector * Evidence of your license numbers and your registered agent. 
* Bond number of the licensed debt collector *Furnish the original contract that shows wet ink signature *Furnish the original contract or security agreement showing repayment of alleged debt I requested not to be contacted by email or phone call as well and was still contacted by them via telephone. 
In a letter dated XX/XX/year> EdFinancial sent a letter stating they "" have enclosed a copy of the information I requested '' but XXXX you can see ( see attachments ) they have still not provided any evidence of an original contract with wet ink signature. I am questioning the authenticity of the TYPED signature and dates on the alleged contract. 
In a separate letter dated XX/XX/year> I was sent a letter from EdFinancial services stating the alleged account was XXXX days or more past due and an outline of consequences of delinquency during on ramp period. 

In another letter dated XX/XX/year> from EdFinancial Services, they stated that their records indicate that the last scheduled payment has not been received and the account is now XXXX or more days past due. 

Since my initial letter on XX/XX/year>, I have yet to receive any of the information I demanded from EdFinancial Services. 

On XX/XX/year> I certified mailed a final warning to Edfinancial Services stating that if the unverified accounts were not removed, I would resort to taking legal action as per my rights.",,
8666186,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Sued you without properly notifying you of lawsuit,MN,"Crown Asset Management, LLC, Duluth, GA Branch",2024-04-01T13:58:04.000Z,,,
