complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,reassessed_escalated,reassessment_notes
6387231,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,ID,ENCORE CAPITAL GROUP INC.,2023-01-03,"I have been contacted multiple times about a supposed debt I am not familiar with. I have sent a certified letter requesting further information about the debt, and about their ability to collect a debt within my state with no response. I spoke to a staff member with them, who said they would send this information, and all that was sent was a single statement from the supposed creditor, and no further information. It was threatened that they would be suing me for the money, but I am not comfortable with the amount of information I have.",,
7618901,Debt collection,Other debt,False statements or representation,Attempted to collect wrong amount,PA,TRANSWORLD SYSTEMS INC,2023-10-02,"I recievd a letter stating that I owe more than XXXX XXXX XXXX XXXX XXXX XXXX, yet i have an XXXX from my homestate of PA. I have been overcharged constantly as the XXXX company is given the ability to withdraw money from my account whenever they want. I had tried to settle the situation with a representative and was told that if I paid money the day we were on the phone, the remaining balance would have been fulfilled",,
16298137,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,NY,"CAINE & WEINER COMPANY, INC.",2025-10-01,,,
20833746,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,NC,Experian Information Solutions Inc.,2026-04-01,,,
14399364,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,TX,"CCS Financial Services, Inc.",2025-07-01,"My name is XXXX XXXX, and I am filing a complaint regarding how the three major credit bureaus XXXX XXXX and XXXX are violating the Fair Credit Reporting Act ( FCRA ), specifically 15 U.S.C. 1681i.

I have disputed inaccurate or unverified information on my credit reports and submitted proper documentation. However, all three agencies have responded with a generic verified result, even though no proper investigation appears to have been conducted.

I believe they are simply reconfirming the information with the furnisher the same business partner who submitted it without independently validating the accuracy of the data. This is not a reasonable reinvestigation as required by law.

This practice damages my ability to maintain accurate credit reports and denies me my rights as a consumer. I am not claiming identity theft, so 15 U.S.C. 1681c-2s 4-day rule does not apply, but the agencies are still obligated under 1681i to : Conduct a fair and full reinvestigation within 30 days, Consider the
documentation I submitted, and Remove any unverifiable or inaccurate items.

I respectfully request that the CFPB investigate this issue and hold the credit bureaus accountable for violating federal law. I have included supporting documentation showing my dispute history and the bureaus inadequate responses.

Sincerely, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Date XXXX XXXX XXXX XXXX XXXX",,
12762674,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,NC,"Portfolio Recovery Associates, LLC",2025-04-01,,,
8094806,Debt collection,Payday loan debt,Attempts to collect debt not owed,Debt was result of identity theft,FL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-01-02,,,
8663582,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,TX,"EQUIFAX, INC.",2024-04-01,,,
6768448,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,NY,"Spring Oaks Capital, LLC",2023-04-02,,,
6393585,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,CA,V and H Portfolio,2023-01-03,,,
8666627,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,VA,Experian Information Solutions Inc.,2024-04-01,"This serves as an effort to rectify inaccurate information present in my credit report as published by your company. Following a credit denial attributed to the dissemination of inaccurate details, I wish to formally communicate that I did not provide authorization or instructions for the inclusion of these specific transactions in my consumer report. 
I am formally requesting the blocking and deletion of these accounts. 
It is crucial to emphasize that this request is not erroneous and is not grounded in any material misrepresentation concerning the necessity to block these transactions. The following are the accounts that I wish to remove from my credit report :",,
20830759,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,FL,Klarna AB,2026-04-01,,,
14394892,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,FL,Kikoff Inc.,2025-07-01,,,
16297256,Debt collection,Credit card debt,Communication tactics,"Used obscene, profane, or other abusive language",MI,DISCOVER BANK,2025-10-01,,,
12764960,Debt collection,I do not know,Threatened to contact someone or share information improperly,Talked to a third-party about your debt,TX,BTH Management,2025-04-01,,,
8090939,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,CA,Collection Consultants of California,2024-01-02,"XXXX and XXXX has removed medical debt from my credit reports and I am formally requesting deletion from the third credit bureau as well. 

I am also requesting that a deletion letter be sent to the credit bureau from the furnisher for deletion from my credit report immediately. 

Please see supporting documentation with this complaint to help me expedite the deletion process.",,
6388608,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,AR,SLM CORPORATION,2023-01-02,,,
20832584,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,MA,"United Collection Bureau, Inc.",2026-04-01,,,
8671096,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was paid,CA,T.S. Holdings,2024-04-01,,,
8086643,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,WI,"Halsted Financial Services, LLC.",2024-01-01,"Halsted Financial is trying to not only collect a debt that I do not owe, they're contacting my family members about it as well. This is a clear violation of the CFPB 's policies as I am not a minor and a violation of my family 's privacy as well as mine.",,
10311700,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,NC,Kikoff Inc.,2024-10-01,,,
14393935,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was paid,GA,Central Portfolio Control Inc.,2025-07-01,,,
